,書名,類別,字數,大綱,狀態,評分
10,新約 魔法禁書目錄,校園 科幻 異能 魔法 冒險 後宮,329.9萬,注:大人氣作品《魔法禁書目錄》續篇！ 羅馬正教暗部「神之右席」最後一名成員右方之火 所引發的第三次世界大戰，由於上條當...,完結,9.9
11,誰說從妥協開始的戀♡一定沒結果,校園 青春 戀愛 日常,92.1萬,我們的戀愛本來就是基於妥協 一直將「拒絕麻煩事情」視為人生準則的我，一直過著邊緣人物的生活 看見摯友兼同學的謝玉和夏...,連載,9.4
12,魔法禁書目錄,校園 科幻 異能 魔法 戰鬥 後宮,299.8萬,這裡是將「超能力」認知為「一般科學」的反超自然學園都市。一名白衣修女從天而降，來到高中生上條當麻的房間。 但那名修女...,完結,9.9
13,我的初戀太過羞恥無法對人訴說,校園 青梅竹馬 歡樂向,8.1萬,容貌端莊，學業優秀，運動萬能，生於有錢人家，甚至還有超級美女姊妹。過著一帆風順人生的千秋有著一個煩惱。 為什麼！完～...,連載,9.7
14,Ｃ軌の人的孩子們, 戀愛 復仇 青春,57.8萬,我作為不義之子降生。 從懂事起，這件事就是我家的公開事項。 我被父親厭惡。被母親無視。背地裡也被鄰里說閑話。 然而...,完結,9.5
15,為了養老要去異世界存八萬金幣,異世界 轉生 女性視角,113.2萬,因事故失去家人的18歲少女，山野光波（Yamano Mitsuha），某天從懸崖上墜落，轉移到相當於中世紀歐洲程度文明水平的異世界。...,連載,9.6
16,我不是說了能力要平均值么,異世界 奇幻 歡樂向,178.7萬,子爵家的長女（アデル・フォン・アスカムは） 8歲時，外祖父與母親去參加隔壁領地的領主的宴會，結果遇上盜賊死亡 喪禮過後...,連載,9.4
17,D crackers,科幻 校園 冒險 戰鬥 青梅竹馬,32.9萬,俗稱·卡普塞爾的毒品，有著不可思議的傳聞。 有人說服下它，就能召喚出天使或是惡魔來幫你實現願望。 姬木梓回到了暌違7年...,連載,10
18,最♡的姊姊是惡役令娘，因此我將...,奇幻 穿越 歡樂向 女性視角,25萬,公爵千金蕾菈從小就被決定與第二王子奧茲瓦爾德訂下婚約。能支持他的只有作為未婚妻的自己。 因此，蕾拉並不會嬌慣奧茲瓦爾...,連載,9.7
19,龍娘七七七埋藏的寶藏,校園 奇幻 懸疑 冒險 歡樂向 戀愛,183.4萬,七重島就是一個漂浮與太平洋上的被稱為「學生特區」的人工島。 與父親斷絕了父子關係的八真重護被強制轉學到七重島的高中。 ...,完結,9.9
20,少女事件,校園 懸疑 異能 後宮 青梅竹馬,12.2萬,這個夏天，我養了一位小學生作為貓。 普通高中生夏目幸路這個暑假，正以「貓」的身份飼養著一位小學五年級的女孩。 ——為...,連載,9.9
21,神の眼點亮灰色世界 ～靠只有我...,奇幻 冒險 戰鬥 後宮 ,10.9萬,地城出現，擁有超常能力──魔力之人覺醒的世界。與生具來的魔力與實力直接相關，強者能成為地城攻略者，獲取財富與名聲。魔力...,連載,8.8
22,善惡公，所追尋的,後宮 龍傲天 異世界 穿越,52.3萬,轉生到遊戲世界《諾亞》里了！ ……本來是這麼想的，但轉生者好像已經死了？ 而我，善惡公，◆◆◆◆◆◆◆◆◆◆◆，重新誕生的人工生命...,連載,9.6
23,假扮戀人,校園 青春 戀愛,19.5萬,或許只有在你與我的漣漪相互靠近、碰撞、交替，最後再緩緩散去，待到所有的一切又重歸於平靜之後，我們才能明白當初相遇的意義。,連載,9.9
24,加茂同學不說話,校園 青春 戀愛 歡樂向,13萬,升上高二後第一次的換座位，坐在赤宮光太旁邊的，是一名叫加茂九杉的女孩。 從未跟她說過話的光太輕輕地向她打招呼，卻被對...,連載,9.8
25,我Ｍ下了與她的每周密會 ～以五...,校園 青春 戀愛 女性視角,33.5萬,她──宮城很奇怪，居然每周一次花上五千圓，買下可以命令我的權力。她會要我跟她一起玩遊戲、一起吃零食，有時候也會看她的心...,連載,9.6
26,雖然稍微比我年長一點，但可以...,校園 歡樂向 青春 戀愛 後宮,41.9萬,「你願意跟我約會嗎？」 某天，男高中生•桃田薰在電車上救了被痴漢騷擾的女高中生•織原姬。兩人互相吸引，墜入情網，然而女...,連載,9.9
27,善於觀察的我不放過毒舌冷嬌美...,校園 青春 戀愛 歡樂向,9.4萬,白金小雪，因美麗且毒舌被稱為「猛毒的白雪姬」。笹原直哉在把她從搭訕之中救出來後，發現了她其實只不過是一個用逞強和謊言...,連載,9.6
28,佐佐木與文鳥小嗶,魔法 異能 戰鬥 龍傲天 大小姐 JC,89.5萬,在寵物店買的可愛文鳥竟是從異世界轉生而來的著名賢者。 佐佐木被賦予了超越世界的機會和強大的魔法力量，開始將現代物品帶...,連載,8.8
29,為何我總是成為S級美女們的話題,校園 青春 戀愛 後宮 歡樂向,6.6萬,「──其實我，最近有一場宿命的邂逅。」 「我最近滿常在注意我打工那裡的一個常客喔～」 女高中生姬川沙羅、小日向凜、高森...,連載,9.2
30,龍姬大人要旅行!!,魔法 異世界 旅行 人外,261.3萬,最強無敵的龍姬，爆炸性誕生！！ 當她因為身體接觸到地面的感覺而感到不適醒來時，發現自己身處於一個昏暗的森林深處。 ...,連載,9.9
31,身為♀生向遊戲的女主角挑戰最強...,奇幻 魔法 戰鬥 冒險 女性視角,80.5萬,在劍與魔法的世界「榭爾」中，女孩艾莉西雅身為孤兒生活。 某天，她無意間知道了自己是「女性向遊戲的女主角」。 就連雙親...,連載,9.9
32,我和弟弟的女友,戀愛 校園 青春,33.1萬,只有和弟弟兩個人的生活中，突然闖入了一個女生。 她正直，倔強，強勢，時而又變得愛撒嬌，會露出亮晶晶的眼神。 她是弟弟...,連載,9.4
33,不覺得村莊建造遊戲的NPC也是活...,奇幻 遊戲 經營 群像,45.4萬,超過30歲的家裡蹲兼啃老族「良夫」收到了寄件人不明的包裹，內容物是名為『命運之村』的遊戲光碟，認為是靠抽獎的興趣而得到...,完結,10
34,不想工作的我讓成為偶像的青梅...,戀愛 青梅竹馬 後宮 病嬌 歡樂向,10.5萬,我不想工作。 這是每個人都曾經有過的想法。 我，也就是葛原和真，在小學的時候就想過這個問題。 雖然絕對不想工作，但是...,連載,8.8
35,轉生成惡役千金的我與轉生成惡...,奇幻 轉生 戀愛 惡役 異世界,47.1萬,轉生成惡役的「我」和「吾」，為了避免悲劇結局而訂下婚約！？ 轉生成小說中的惡役千金及惡役王子的「我（克拉莉絲）」和...,連載,9.4
36,借給朋友500圓，他竟然拿妹妹來...,校園 青春 戀愛 歡樂向,37.3萬,宮前朱莉突然來到白木求居住的公寓。 朱莉是一位關心哥哥的好女孩，還是個全校都認識的美少女。 求對朱莉的印象只有這樣， ...,完結,9.8
37,原本陰沉的我要向青春復仇 和那...,穿越 校園 青春 戀愛,40.7萬,★社畜穿越時空回到了……高二!? ★以黑心企業培養的社畜力重啟青春！ 身處黑心企業而身心崩壞的新濱心一郎醒過來時， 已經...,連載,9.9
38,（實教同人） 如果綾小路過上自...,校園 戀愛 青春 後宮 同人,111.4萬,輕小說「歡迎來到實力至上主義的教室」的原創同人作品。 這邊設定上是綾小路清隆的父親雖然對他實施了White room的教育但依...,連載,9.9
39,和沒有信徒的女神大人一起攻略...,穿越 奇幻 冒險 後宮 人外,121.3萬,遊戲成癮的高中生‧高月誠人於校外教學回程中遭遇意外事故，與全班同學一同轉移到了異世界。異世界的神明們紛紛賜予全班同學逆...,連載,9.4
40,魔王學院的不適任者～史上最強...,穿越 校園 魔法 龍傲天 後宮,249.1萬,儘管具備能毀滅人類、精靈，甚至是眾神的力量，暴虐魔王阿諾斯卻厭倦了永無止盡的鬥爭，夢想著和平的世界進行轉生。然而在兩...,連載,9.8
41,再見的彼岸,青春 戀愛,6.5萬,來到「再見的彼岸」時，引路人如是說。 當一個人去世時，會被賦予二十四小時回到現世，與他們想見的人見面。 然而，條件是...,完結,10
42,真‧遭到波及召喚。收納士豈不是...,奇幻 冒險 龍傲天 歡樂向,44.6萬,不小心被捲入他人勇者召喚的兒玉翔太，被勇者們欺騙後被丟進地下迷宮最深處。沒想到他強大的運氣在迷宮裡爆棚，僅僅用一個技...,連載,8.9
43,被砍掉腳丟包在迷宮的少年，變...,奇幻 冒險 轉生 復仇 龍傲天,54.1萬,不知為何，冒險者少年隆不管再怎麼努力，就是無法從等級１再往上升，無可奈何之下，他只好成為專採藥草的冒險者來維持生計。 ...,連載,7.5
44,雖然轉生卻因為無法挑選熱門技...,奇幻 轉生 異世界 冒險 遊戲,46.8萬,轉生的主角傑洛斯，神要求他選擇一項技能，而他希望得到能從別人手中奪走技能的搶奪系技能…… 「大家都選這個很無聊，不行。...,連載,9.2
45,轉生成反派大小姐繼母的我絕對...,奇幻 穿越 轉生 戀愛,60.6萬,女主角瑟蕾妮生於貧窮貴族世家，她在與侯爵結婚的瞬間，意識到自己現在身處於女性向戀愛遊戲的世界裡， 而侯爵與前妻生下的...,連載,8.8
46,難得轉生到異世界，無論遇到什...,奇幻 穿越 轉生 異世界,59.3萬,元川誠司，一介上班族，31歲，單身，唯一的興趣就是玩遊戲。 有一天誠司得知了世界級RPG「Fantasy Saga」開發者過世的消息。...,連載,9.5
47,妻子外遇後，我重返大學時代了！,轉生 青春 戀愛 歡樂向,37.9萬,妻子外遇後，我──常盤奏久被某個人殺害了。然而當我睜開雙眼，我竟然回到了大學入學典禮的前一天。 因此我下定決心，我要活...,連載,7.4
48,戀上我的第一個朋友,校園 青春 戀愛 歡樂向,24.3萬,令人無法習慣的春天又一次到來了…… 高中生水原弘也是一位即將升入高二年級的男高中生，相貌平平，家庭背景普通，沒有義妹義...,連載,10
49,妳最後留下的歌,校園 青春 戀愛 輕文學,9.9萬,在鄉下小鎮和祖父母一起生活的我，唯一的興趣就是寫詩。 原本預期自己會過著平凡一生的我，遇見了同班的遠坂綾音。 得知我...,完結,10
50,薇爾莉特·伊芙加登,職場 戀愛 治癒 女性視角,57.7萬,「自動手記人偶」的誕生，是遙遠過去的事情。 活版印刷的權威奧蘭德博士，為了失明的小說家妻子·茉莉，而發明了即使看不見也...,完結,9.1
51,異世界狂想曲,穿越 戰鬥 旅行 龍傲天 後宮 人外,252萬,在線上遊戲公司工作的29歲的程序員鈴木一郎，遊戲角色名「佐藤(サトゥー)」，某天在爆肝工作後一覺醒來，發現身處荒野（龍之...,完結,9.8
52,關於我在無意間被隔壁的天使變...,校園 青春 戀愛 歡樂向,121.6萬,藤宮周所住公寓的隔壁，住著學校第一的美少女椎名真晝。自從周看到真晝在雨中淋得全身濕透而把傘借給她以後，原本並無交集的...,連載,9.7
53,一擊絕頂除靈,奇幻 戰鬥 歡樂向 後宮 青梅竹馬,80.5萬,除靈失神？就要墮落到C級的B級除靈！ ————絕頂除靈。 這是不問生者死者讓襲擊而來的對手強制性的絕頂，用偏方僻徑讓惡靈怪...,連載,9.7
54,班裡的人氣偶像黏上了一輩子不...,校園 青春 戀愛 歡樂向 後宮,38.4萬,高中生·志藤凜太郎志向成為家庭主夫。千層酥組合的領隊——乙咲玲就在他的班上。 兩人一直以來毫無瓜葛。某一天，玲因為空腹倒...,連載,9.7
55,被競選為最想娶作妻子排行第一...,校園 青春 戀愛 歡樂向,9.7萬,不想被我把秘密泄露出去的話，就一起進行應援活動吧？ 高中生不破大翔為了扮演高傲的天才，過著不讓他人看見自己弱點的生活...,連載,10
56,夏洛克＋學園,校園 懸疑 鬥智 戀愛,37.8萬,這是偵探的全盛時代，也是犯罪的全盛時代。 為對抗與日俱增的兇惡犯罪，偵探這一職業的必要性於現代出現了飛躍式地拔升。...,連載,9.7
57,匿名拯救了厭男美女姊妹後會發...,校園 青春 戀愛 後宮 歡樂向,8.4萬,我在同年級的美女姊妹遭到強盜襲擊時出手相救。 聽說她們姊妹「討厭男人」…… 可是妹妹藍那會用豐滿的胸部壓過來對我撒嬌， ...,連載,9.3
58,靠著魔法藥水在異世界活下去！,穿越 魔法 冒險 歡樂向 女性視角,99.3萬,由於管理者調整世界扭曲的行動失敗，長瀨香失去了肉體，而且無法再回到原本的世界，只能轉生至文明更為落後的世界。無法忍受...,連載,9.2
59,敗北女角太多了！,校園 歡樂向 青春 戀愛 後宮 ,61.9萬,平常擔任班上背景人物的我──溫水和彥，偶然目擊人氣女同學八奈見杏菜被男生甩掉的失戀現場。 「他明明說過要娶我當新娘，這...,連載,9.9
60,紙上的魔法使,奇幻 校園 青春 戀愛,60萬,在某個島上有一座規模略小的圖書館。 這座圖書館是專門為了某個少女而建造的，遊行寺家的私人圖書館。 這座圖書館裡有很多...,完結,10
61,王者的求婚,校園 奇幻 戰鬥 後宮 ,65.5萬,久遠崎彩禍──在這個每三百個小時遭遇一次滅亡危機的世界中， 持續拯救世界的最強魔女，同時也是魔術師學園的學園長。 她也...,連載,9.9
62,平凡職業造就世界最強,穿越 魔法 龍傲天 後宮 人外,568.5萬,『被霸凌的孩子』南雲始，與同班同學一起被召喚至異世界。雖然同學們接連顯現戰鬥取向的特殊能力，但始卻只擁有煉成師這種平...,完結,9.8
63,伊田的煩惱, 校園 青春 女性視角 戀愛,39.1萬,兩個各自擁有著秘密和傷痛的少女，在各種各樣的事情中相互接近的愛情故事。 是雙方視角哦~ 日系/百合/現實向/純愛/女性視角,連載,9.9
64,劣者の痛,戀愛 後宮 病嬌 歡樂向,47.2萬,御日陽火，長期暗戀著名為詩都的青梅竹馬，卻被另一個青梅竹馬，紅葉駿橫刀奪愛。可是，當他失戀後，卻在不知不覺之間開始受...,連載,9.7
65,太陽頻道,奇幻 校園 冒險 後宮 青梅竹馬,10.8萬,尋死的吸血姬與最強殺手之間，會碰撞出怎樣的火花。 這個世界由故事構成。 ——這是一個尋找太陽的故事。,連載,9.8
66,天使們的課外活動,奇幻 人外 女性視角,10.5萬,升入中等部二年級的莉和雪拉，被路邀請一起開始課外活動——新系列的開幕！,連載,10
67,最弱的馴養師開啟的撿垃圾的旅途,異世界 冒險 旅行 女性視角,105.3萬,神賜予的技能是最弱的馴養師。 因繼續留在村裡會有生命危險，趕緊逃離，從此開始旅行！ 在旅行途中相遇到可以馴養的魔物！ ...,連載,9.9
68,想變成美少女被人寵♡，過上人生..., 轉生,53.4萬,超絕美少女系vtuber如同太陽般閃耀的故事。,連載,9.4
69,你的名字,科幻 青春 戀愛 輕文學,14.6萬,未曾相識的兩人， 不可解的相遇， 讓命運的齒輪開始轉動── 家住深山的女高中生三葉，每天過著鬱鬱寡歡的生活。 身為鎮...,完結,9.8
70,不過是跟表姊妹的戀♡物語,校園 青春 戀愛 後宮 ,25萬,初吻的對象是比自己年長四歲的表姐。 乾隆第一次接吻的時候是在小學六年級，對象是年長四歲被我叫作「絢姐」的表姐中堂絢...,連載,9.2
71,戰鬥司書,奇幻 異能 戰鬥 冒險 黑暗,111.9萬,殺了哈繆絲·梅瑟塔——這是一個將死者的一生製成「書」，並收藏在圖書館的世界。 一位被奪走記憶，胸口被埋設爆彈的少年克里歐...,完結,9.8
72,魔術師克農看見了,奇幻 異世界 異能,73.1萬,所謂人生，會只因一句話而完全不同。 克農·古里安出生時受到名為「英雄的傷痕」的詛咒失去了視力。 別說視野，連生存意義...,連載,9.4
73,推好像喜歡我,校園 青春 戀愛 歡樂向,9.8萬,即便是在糟糕的現實中，只要有推的存在，我就能活下去。 我的推是在網路上頗受歡迎的音樂組合『願在滿月之夜綻放』的主唱 U-...,連載,9.7
74,幻想の花向死而生,奇幻 冒險 戰鬥 腦洞 懸疑 驚悚 異能 鬥智 犯罪,10.2萬,死而復生，擁有了超能力，你會做什麼呢？ 索雭本是一個普通家庭的少年，因為一場恐怖組織的屠殺成為孤兒。 為復仇他自願接...,連載,9.8
75,失意男子異世旅行譚,異世界 病嬌 穿越 轉生 旅行,45.7萬,（建了個q群不知道有沒有人加171151968） 瀕臨絕望的年輕男子在自裁中感到後悔，卻在已無法回頭時從腦中收到了一聲陌生的請...,連載,9.3
76,從青梅竹馬搬家開始的重返過往,戀愛 懸疑 校園 穿越,22.1萬,終於，你我私下再度重逢，我卸不去悲戚的秘密桎梏 你的心選擇了忘卻，而我的靈魂選擇欺謾 此去經年，若再見你，我該如何道...,連載,9.7
77,我的漢化組偽娘高中生正在試圖...,校園 青春 戀愛,1.4萬,三個人的青春胃疼故事。,連載,9.8
78,我要和女主角的妹控哥哥離婚,奇幻 穿越 戀愛 女性視角,51.5萬,穿越進自己喜歡的小說中，成了伊德爾，與女主蓮娜的哥哥結婚。 還以為以為會自然而然地成為一家人，但那是錯覺。 只關心妹...,連載,10
79,放課後的百物語,校園 奇幻 戰鬥 後宮 人外,66.8萬,「雖然有點突然，但能不能讓我吸你的血呢？」 身為一介高中生及美術部員的我，在夜晚的學校中遇見了一名眼睛閃著銀色光芒的...,連載,10
80,轉生貴族胸懷大志,轉生 戀愛 後宮 黑暗,284.1萬,在事故中喪生的高橋修帶著前世的記憶重生為維爾羅德侯爵的孩子。 然而正是我妹妹正在玩的戀愛遊戲的世界。 遊戲是關於「掠...,連載,9.5
81,舊日焚館,獵奇 人外 驚悚 黑暗,60.6萬,8歲那年的暑假，我是在鄉下的分家度過的。 模糊的記憶告訴我，那是雨後的晴天，河邊的碎石路上，我遇到了脫離常識的生物。大...,完結,9.9
82,鎧甲公主物語,穿越 魔法 歡樂向 後宮 人外,29.2萬,「幸會，你好！和我一起在異世界打造一個後宮吧！」 「好啊。可是我沒有交過女朋友，沒關係嗎？ 抱著極度輕佻的心情與原始...,完結,9.8
83,八男？別鬧了！,穿越 魔法 戰鬥 龍傲天 後宮,288.2萬,一宮信吾是個平凡的二十五歲上班族，某天早上一覺醒來，卻發現自己換了一個截然不同的人生！ 他置身彷佛歐洲中世紀的魔法異...,連載,8.7
84,獄門撫子在此,奇幻 懸疑 人外,17.9萬,這個少女，命中注定要吞食怪物—— 這是在1469件作品中脫穎而出的頂尖之作。 第17屆小學館輕小說大獎《大獎》獲獎作品！ ...,連載,9.9
85,你喜歡被可♡女生攻陷嗎？,青春 戀愛 歡樂向 後宮,41.4萬,「北御門先生，這是遊戲喔——如果愛上對方，就會成為奴隸呢。」 南條家掌控著日本黑社會。北御門帝落入南條家女兒——姬沙的陷...,連載,9.4
86,幼女戰記,穿越 戰爭,222.7萬,有著金髮碧眼與白皙肌膚的幼女翱翔天際，殘忍無情地擊墜敵軍。 以幼女口齒不清的語調指揮大軍的她，名叫譚雅·提古雷查夫。 ...,連載,9.9
87,將放言說女生の間不可能的女孩...,校園 青春 戀愛 女性視角,48.1萬,『女生之間什麼的不可能……本該是這樣的！』 這是一個從日常開始的危險夏日物語。 班級人氣系女高中生——鞠佳，同班同學的...,連載,9.7
88,十八時,青春 戀愛 校園 輕文學,20.7萬,在高二秋天經歷一系列事情之後，本以為不會改變的兩人的關係極速的變化。面對兩位截然不同的女生，處於選擇中的少年究竟能否...,連載,10
89,星美君的包裝,校園 青春 戀愛 歡樂向 ,16.6萬,自稱『最強可愛』的女裝少年星美次郎是走在路上回頭率100%的超絕美人。 雖然他在學校里隱瞞了這件事情，但是有一天被旁邊座...,連載,9.8
90,灰與幻想的格林姆迦爾,穿越 奇幻 冒險 戰鬥 青春 黑暗,259.3萬,我們為什麼要這麼做……？ 哈爾希洛回過神來，才發現自己身處在黑暗當中，他完全不知道自己人在何處，也不明白這個地方是哪裡...,連載,9.8
91,異世界忠臣藏 ～復仇的雷迪亞四...,穿越 戰鬥 後宮 復仇,37.9萬,這是將成為傳說的復仇。 在被聖鹽守護土地上的雷迪亞王國，由於國王被惡臣殺害，國家陷入了存亡危機。 被譽為列國最強的雷...,連載,9.7
92,被弟控姊姊發現我其實是最強魔...,校園 魔法 龍傲天 後宮 青梅竹馬 歡樂向,18.4萬,你拿出真本事的話竟然這麼強呀！？姊姊馬上就去向大家顯擺哦！ 雖說身懷最強等級的實力，但自己始終只想活得安逸——抱著這...,連載,9.6
93,等級封頂的最強劍聖女碧翠斯也...,奇幻 魔法 戰鬥 後宮 人外,94.4萬,此處是劍與魔法的異世界，同時也有無比巨大的地下迷宮在等待挑戰者。利用比咒文、魔法陣更加熟悉的類遊戲方式管理魔法，獲得...,連載,9.9
94,現實主義勇者的王國再建記【Web...,穿越 奇幻 經營 戰爭 後宮,201.9萬,「哦哦，勇者啊！」 被這種千篇一律的字句召喚至異世界的相馬一也的冒險──並未展開。 將自己的富國強兵之策獻給國王之後，...,連載,9.3
95,Destiny Unchain Online 〜成為...,奇幻 冒險 ,100.5萬,「……吸血鬼。但我是素食主義者啊。」 在不久的將來，全面潛入VR技術作為日常用品廣泛普及。 VRMMORPG《Destiny Unchain...,連載,9.8
96,二號的我與第一的她 後日譚 ～...,校園 青春 戀愛 歡樂向,2.7萬,這是一部描繪同一所高中里的男女生及其周圍人物青春日常的群像劇。 它既展現了一段甜蜜的戀情，也揭示了一場身份差異之戀的...,連載,10
97,罪人與龍共舞,奇幻 戰爭 黑暗 戀愛 ,432.9萬,咒式與謀略、愛以及因愛而生的背叛── 所謂的咒式，乃操作作用子定數h，讓物理法則發生局部變化，產生TNT炸藥與毒氣，並引發...,連載,9.3
98,無知轉生 ～就算轉生到了一無所...,異世界 穿越 轉生 遊戲,39.8萬,主人公轉生到了曾比任何人都要沉迷、對每個角落都了如指掌的魂之遊戲里……其實是轉生到了只有名字相似，除名字以外一無所知的...,連載,9.4
99,非人學生與厭世教師,奇幻 校園 後宮 人外,34.4萬,我是年近三十的人間零，因人際關係受到創傷而成為尼特。 後來終於鼓起勇氣，打算轉任到大自然圍繞的山中學校， 用悠哉的教...,連載,9.8
100,86-不存在的戰區-,科幻 戰爭 機戰 戀愛,179.3萬,聖瑪格諾利亞共和國為了應對鄰國的無人機「Legion」侵略，成功研發出同型武器，不再需要靠著人命堆疊的戰爭終於來臨。 是的─...,連載,9.9
101,世界啊，臣服在我的烈焰の下吧,穿越 奇幻 異能 戰鬥 歡樂向 女性視角,19.6萬,（要是可以的話想燒點什麼……）因為有這樣的慾望，焰被帶到了異世界。那是個集結了同樣奇怪的女高中生們的世界，擁有特殊才能...,連載,9.8
102,爆肝工程師的異世界狂想曲,穿越 戰鬥 旅行 龍傲天 後宮 人外,364.9萬,正在爆肝加班當中的程式設計師，遊戲中名為「佐藤」的鈴木一郎（29歲）。原本應該在小睡片刻的他，回過神竟發現自己被放逐到...,連載,8.1
103,擁有超常技能的異世界流浪美食家,穿越 奇幻 冒險 美食,142.9萬,向田剛志（穆寇達）從現代日本被召喚到劍與魔法的異世界裡去了。本來還以為會有什麼大冒險在等著，結果自己只是個被牽連進「...,連載,9.1
104,間諜教室,間諜 戰鬥 冒險,111.3萬,陽炎巴勒斯坦・共同生活的規則。一個七個人合作生活。一個外出的時候要認真的玩。用一切手段打倒我。——各國展開間諜「影子戰...,連載,9.5
105,可以僱用我一輩子嗎？ ～與不苟...,奇幻 異世界 職場 戀愛 歡樂向 女性視角,12.8萬,因為某個不合理的借口，璐希爾被趕出這三年以來供自己吃住的職場。 為了謀求新工作，她來到一處偏僻鄉鎮抵達不苟言笑的魔法...,連載,10
106,奪取天下的少女,青春 校園 女性視角 輕文學,7.8萬,「島崎，我要把這個夏天獻給西武。」 2020年國中二年級的暑假開始前，少女成瀨又說出奇怪的話。 西武百貨大津店因新冠肺炎...,完結,10
107,關於轉生成日式幻想黃油路人這件事,病嬌 後宮 異世界 戀愛 轉生 戰鬥,7萬,我竟然轉生到了生前玩過的滿是病嬌女主角的致郁系黃油中，可為什麼我是遊戲中的一個無名路人？我在這個黑暗、殘酷和恐怖的世...,連載,9.7
108,不動火輪一動不動,科幻 懸疑 女性視角,13.5萬,嬰兒經由人工授精來到世上的時代，人們在掌心中植入節點，交換信息與思想。作為初中二年級的課外實踐活動，不動火輪與瀧口兔...,完結,8.8
109,COMPASS 英雄觀察記錄,奇幻 冒險,7.4萬,英雄們的真面目現在揭曉！大人氣遊戲期待已久的小說化登場！ 根據大人氣遊戲「＃COMPASS 戰鬥天賦解析系統」描繪的三位英雄...,完結,10
110,義妹生活,校園 青春 戀愛 ,85.2萬,高中生淺村悠太，由於父親再婚，和學年第一美少女綾瀨沙季成為同住一個屋檐下的兄妹。都見過雙親感情破裂的兩人對男女關係慎...,連載,9.8
111,輪迴第7次的反派千金，在前敵國...,穿越 冒險 戀愛 大小姐 女性視角,78.1萬,「莉榭・伊姆加德・魏納！你這跟王太子未婚妻分不相稱的陰險女人。由今天起，我要廢除跟你的婚約！！」 「是的，我明白了。...,連載,9.9
112,TS衛生兵小姐的成名錄,轉生 奇幻 戰鬥 女性視角,89.9萬,TS後的FPS廢人，被捲入異世界奇幻戰爭中的故事。 遺憾的是沒有外掛，只能作為小兵一點點地努力。,連載,9.8
113,怪人的沙拉碗,魔法 冒險 戀愛 歡樂向 群像,47.2萬,貧窮偵探•鏑矢惣助在跟蹤途中，遇見了會使用魔術的異世界皇女莎拉。惣助受情勢所逼，和莎拉展開了同居生活，不過莎拉很快地便...,連載,9.9
114,素晴日,校園 青春 戀愛 獵奇,77.7萬,本作講述了一起集體跳樓自殺事件：生前遭受校園霸凌的高島柘榴在2012年7月12日傍晚跳樓身亡，在她隔壁班的間宮卓司碰巧看到了...,連載,8.9
115,關於鄰家的天使大人不知不覺把...,校園 青春 戀愛 歡樂向,60.7萬,藤宮周住的公寓鄰家住著學校人氣第一的可愛天使。 椎名真晝優秀而貌美，以至於被喚作天使。而周是並無特別出彩之處的普通學...,連載,9.9
